Treatment,Metadata_treatment_old,Metadata_treatment_new,Drug_name,Metadata_dil_factor,Metadata_concentration_uM,drug_conc,Cell_count_poc,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,V1,V2,V3
treated,Golgicide A,golgicide-A,golgicide-A,0.25,5,golgicide-A_5_0.25,1.026926263,1.167039523,1.140122511,0.88994709,0.99391161,-1.981662297,1.129925496
treated,Tetrandrine,tetrandrine,tetrandrine,0.015625,0.3125,tetrandrine_0.3125_0.015625,0.94909688,1.064763996,1.037555228,0.838373306,0.614048718,-1.970522685,1.867456552
treated,Tetrandrine,tetrandrine,tetrandrine,0.03125,0.625,tetrandrine_0.625_0.03125,1.003284072,1.068605928,1.057437408,0.860271116,1.243973549,-2.341973268,1.773468252
treated,Tetrandrine,tetrandrine,tetrandrine,0.0625,1.25,tetrandrine_1.25_0.0625,1.014778325,0.999451153,1.055964654,0.958289885,0.838675656,-2.341835653,2.033955207
treated,Tetrandrine,tetrandrine,tetrandrine,0.5,10,tetrandrine_10_0.5,0.780788177,0.777716795,0.796023564,0.826903024,1.422443614,-1.670999977,-0.398357282
treated,Tetrandrine,tetrandrine,tetrandrine,0.125,2.5,tetrandrine_2.5_0.125,0.970032841,0.987376509,1.051546392,0.976016684,0.681501231,-2.282680948,2.146764507
treated,Tetrandrine,tetrandrine,tetrandrine,0.25,5,tetrandrine_5_0.25,0.904761905,0.926454446,0.976435935,0.89468196,1.381998954,-1.426078975,-0.193203503
treated,Tolfenamic Acid,tolfenamic-acid,tolfenamic-acid,0.015625,0.3125,tolfenamic-acid_0.3125_0.015625,0.992129246,NA,1.007656968,0.753439153,0.246540522,-1.120851897,0.390345
treated,Tolfenamic Acid,tolfenamic-acid,tolfenamic-acid,0.03125,0.625,tolfenamic-acid_0.625_0.03125,1.056752278,1.150633855,1.095712098,0.958730159,0.039830039,-1.748974294,0.727649707
treated,Tolfenamic Acid,tolfenamic-acid,tolfenamic-acid,0.0625,1.25,tolfenamic-acid_1.25_0.0625,1.028997514,1.132736764,1.110260337,0.882539683,0.089836674,-1.824234291,0.473953955
treated,Tolfenamic Acid,tolfenamic-acid,tolfenamic-acid,0.5,10,tolfenamic-acid_10_0.5,1.033140017,1.178970917,1.122511485,1.012698413,-0.249883876,-1.662040945,0.616881152
treated,Tolfenamic Acid,tolfenamic-acid,tolfenamic-acid,0.125,2.5,tolfenamic-acid_2.5_0.125,1.096106048,1.098434004,1.06661562,0.953439153,-0.250323364,-1.575833054,0.447673067
