"","WellId","Metadata_well_1","Plate_number","Drug_name","Treatment","Metadata_dil_factor","Mitoxantrone_uM","PlateNumber","Row","Column","ObjectTotalIntenCh1"
"675173","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19332527
"675174","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19321803
"675175","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11726173
"675176","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11283688
"675177","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10750396
"675178","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15265663
"675179","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13408729
"675180","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19978818
"675181","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18091750
"675182","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11514292
"675183","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,6806665
"675184","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14539983
"675185","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18693363
"675186","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18951358
"675187","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10318838
"675188","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20194588
"675189","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,12331179
"675190","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19566399
"675191","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9264724
"675192","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,24427235
"675193","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11052862
"675194","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9831433
"675195","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8588334
"675196","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,37885381
"675197","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9785022
"675198","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10953573
"675199","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14442942
"675200","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10389635
"675201","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,39240709
"675202","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9117021
"675203","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11336897
"675204","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21533184
"675205","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19208159
"675206","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20206792
"675207","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,33021332
"675208","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14871119
"675209","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21468740
"675210","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18635355
"675211","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18497551
"675212","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8309986
"675213","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20741788
"675214","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9692404
"675215","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,30141066
"675216","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11463710
"675217","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20021929
"675218","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19354624
"675219","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18885286
"675220","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22082120
"675221","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15395763
"675222","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,24005066
"675223","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11529543
"675224","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13679442
"675225","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21219596
"675226","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19822821
"675227","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8437473
"675228","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,31838968
"675229","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16474642
"675230","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17605537
"675231","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15691905
"675232","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13594692
"675233","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19003913
"675234","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9915107
"675235","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,23201139
"675236","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10399346
"675237","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17532339
"675238","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16413026
"675239","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15659561
"675240","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11248238
"675241","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,26115145
"675242","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20061667
"675243","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22371084
"675244","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20527182
"675245","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8679238
"675246","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16461540
"675247","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18666633
"675248","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9883004
"675249","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22036258
"675250","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18861849
"675251","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9498770
"675252","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9959102
"675253","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11522666
"675254","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16836464
"675255","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18322751
"675256","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,23055289
"675257","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21487971
"675258","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8099153
"675259","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17222585
"675260","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11278471
"675261","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21326248
"675262","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8875266
