"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"73","RingSpotTotalInten_TUB","1_C2_1",0.878120178397716,0.58583581477186,0.670548200571423,0.814786497474622,"TUB","panelC2","int",-0.534715708232957,-0.204829166349244
"74","RingSpotTotalInten_TUB","1_C2_2",0.428707809110082,0.9396156909764,0.279088714925018,0.997301873326532,"TUB","panelC2","int",-0.0622843267025039,-0.00270177317787184
"75","RingSpotTotalInten_TUB","1_C2_3",1.35512429931871,0.262667469128482,0.804197577112676,0.688202751894848,"TUB","panelC2","int",-1.33686642273936,-0.373671786941997
"76","RingSpotTotalInten_TUB","2_C2_1",0.830209666736932,0.627459530208343,1.7776215689922,0.101855134626641,"TUB","panelC2","int",-0.466076103747889,-2.28420372396551
"77","RingSpotTotalInten_TUB","2_C2_2",2.51226515984496,0.0311524168341277,0.812651690186421,0.679895593039449,"TUB","panelC2","int",-3.468863449788,-0.385816032248271
"78","RingSpotTotalInten_TUB","2_C2_3",1.83570307959854,0.107520921552313,1.19950107082337,0.343656812314609,"TUB","panelC2","int",-2.23006983125897,-1.06811175820169
"79","RingSpotAvgInten_TUB","1_C2_1",1.20595641829266,0.34307077843953,0.692642419432859,0.794923224998225,"TUB","panelC2","int",-1.06981850196801,-0.22950974132049
"80","RingSpotAvgInten_TUB","1_C2_2",1.40362115214286,0.240404081528239,0.962919996486883,0.535103361049367,"TUB","panelC2","int",-1.42543409839433,-0.625295352523388
"81","RingSpotAvgInten_TUB","1_C2_3",2.69208511479062,0.0227041585169251,0.523498847447582,0.925367730757304,"TUB","panelC2","int",-3.78520717669466,-0.0775640737058374
"82","RingSpotAvgInten_TUB","2_C2_1",3.87986569768161,0.00331843322701206,0.639665947845115,0.84141566295539,"TUB","panelC2","int",-5.70826252701751,-0.172669492649099
"83","RingSpotAvgInten_TUB","2_C2_2",5.61706000604614,0.000319081232465323,0.530045621762276,0.921449660614966,"TUB","panelC2","int",-8.05006484036982,-0.0818071310204365
"84","RingSpotAvgInten_TUB","2_C2_3",1.7862583231293,0.117939297923012,0.933290524927785,0.562770795500526,"TUB","panelC2","int",-2.13758521125935,-0.574882846523054
"85","RingSpotTotalArea_TUB","1_C2_1",0.403919388551454,0.951229221220453,0.498530450892679,0.939313071182251,"TUB","panelC2","non-int",-0.050000213702686,-0.0626064462025734
"86","RingSpotTotalArea_TUB","1_C2_2",0.356870038072872,0.969456726588843,0.221479985967235,0.999425697253593,"TUB","panelC2","non-int",-0.031019440067285,-0.0005744677213957
"87","RingSpotTotalArea_TUB","1_C2_3",0.708386840984096,0.735103650974655,0.432893318549918,0.968243620756686,"TUB","panelC2","non-int",-0.307743767977706,-0.0322715490348131
"88","RingSpotTotalArea_TUB","2_C2_1",0.81709513962485,0.638991832044614,1.30487447742852,0.277651903051151,"TUB","panelC2","non-int",-0.447863607089093,-1.28138709718096
"89","RingSpotTotalArea_TUB","2_C2_2",1.22471077473932,0.331924995752267,0.874602675233713,0.61914127036545,"TUB","panelC2","non-int",-1.10284625199744,-0.479421808805955
"90","RingSpotTotalArea_TUB","2_C2_3",0.711350538551417,0.732505458372285,1.08086143554089,0.432444287334823,"TUB","panelC2","non-int",-0.3112844864159,-0.838301776318435
"91","RingSpotAvgArea_TUB","1_C2_1",3.49307562818798,0.00601363638818624,1.43958789107393,0.209660777896669,"TUB","panelC2","non-int",-5.11372565713717,-1.56226439768763
"92","RingSpotAvgArea_TUB","1_C2_2",2.86224771526233,0.0169315980964366,1.61520967175731,0.144275900773065,"TUB","panelC2","non-int",-4.07857369293658,-1.93602783495934
"93","RingSpotAvgArea_TUB","1_C2_3",1.26375020128891,0.309699169363396,0.89564287998127,0.598735145751923,"TUB","panelC2","non-int",-1.17215387407504,-0.512935939329811
"94","RingSpotAvgArea_TUB","2_C2_1",6.7965393571066,8.33930454345965e-05,1.76646240843181,0.104320717772911,"TUB","panelC2","non-int",-9.39194564015093,-2.2602853003356
"95","RingSpotAvgArea_TUB","2_C2_2",4.26517613628159,0.00188866844693818,0.942776821432192,0.553844990643586,"TUB","panelC2","non-int",-6.27188322363479,-0.590870431668592
"96","RingSpotAvgArea_TUB","2_C2_3",1.62458317400983,0.159595209556305,1.27567643213872,0.294757067955349,"TUB","panelC2","non-int",-1.83511460972827,-1.22160376035988
"97","RingSpotCount_TUB","1_C2_1",1.24404635866917,0.32075327467724,1.16091192332343,0.370845122263069,"TUB","panelC2","non-int",-1.1370830661005,-0.991970763742833
"98","RingSpotCount_TUB","1_C2_2",0.673028697125853,0.765802389770742,0.358934823196886,0.987979419690799,"TUB","panelC2","non-int",-0.266831119323883,-0.0120934117236929
"99","RingSpotCount_TUB","1_C2_3",1.33495185453473,0.272466507158243,0.926229710727533,0.569452812688245,"TUB","panelC2","non-int",-1.30023958194387,-0.563079356967197
"100","RingSpotCount_TUB","2_C2_1",2.04954427039149,0.0722094559083935,1.15047479917924,0.378480436230934,"TUB","panelC2","non-int",-2.62818427339865,-0.97159089507342
